"Name","Agent","Stopped","State","Notes","User","Tags","Created","Runtime","Sweep","base_features","batch_size","conv_activation","data_dir","dense_activation","dropout","early_terminate.min_iter","early_terminate.type","filter_size","img_size","in_channels","include_batchnorm","input_size","lr","max_epochs","method","metric.goal","metric.name","num_classes","num_dense","num_layers","num_workers","padding","parameters.base_featuress","parameters.batch_sizes","parameters.conv_activations","parameters.data_dir","parameters.dense_activations","parameters.dropouts","parameters.filter_sizes","parameters.img_size","parameters.in_channels","parameters.include_batchnorms","parameters.input_size","parameters.lr.distribution","parameters.lr.max","parameters.lr.min","parameters.max_epochs","parameters.num_classes","parameters.num_denses","parameters.num_layers","parameters.num_workers","parameters.padding","parameters.pooling_k","parameters.strategys","parameters.stride","parameters.use_augmentations","pooling_k","program","strategy","stride","use_augmentation","epoch","train_accuracy","train_f1_class_cardboard","train_f1_class_glass","train_f1_class_metal","train_f1_class_paper","train_f1_class_plastic","train_f1_class_trash","train_loss_epoch","train_loss_step","train_precision_class_cardboard","train_precision_class_glass","train_precision_class_metal","train_precision_class_paper","train_precision_class_plastic","train_precision_class_trash","train_recall_class_cardboard","train_recall_class_glass","train_recall_class_metal","train_recall_class_paper","train_recall_class_plastic","train_recall_class_trash","trainer/global_step","val_accuracy","val_f1_class_cardboard","val_f1_class_glass","val_f1_class_metal","val_f1_class_paper","val_f1_class_plastic","val_f1_class_trash","val_loss","val_precision_class_cardboard","val_precision_class_glass","val_precision_class_metal","val_precision_class_paper","val_precision_class_plastic","val_precision_class_trash","val_recall_class_cardboard","val_recall_class_glass","val_recall_class_metal","val_recall_class_paper","val_recall_class_plastic","val_recall_class_trash"
"ancient-sweep-111","","true","failed","-","","","2025-12-13T14:33:07.000Z","61","xhtpjq4s","32","32","mish","data","relu","0","","","5","128","3","true","128","0.006804503623302434","20","","","","6","512","5","4","same","","","","","","","","","","","","","","","","","","","","","","","","","2","","halving","1","true","10","0.6451214551925659","0.7202141880989075","0.5817452073097229","0.5691699385643005","0.7729861736297607","0.6017897129058838","0.4137931168079376","0.9441931247711182","0.8984278440475464","0.7390109896659851","0.5631067752838135","0.5869565010070801","0.7240853905677795","0.6270396113395691","0.49484536051750183","0.702349841594696","0.6016597747802734","0.5524296760559082","0.8289703130722046","0.5784946084022522","0.35555556416511536","829","0.4586056768894195","0.7438596487045288","0.2938775420188904","0.33898305892944336","0.5053191781044006","0.20444443821907043","0.4736842215061188","1.5180937051773071","0.7412587404251099","0.5806451439857483","0.9375","0.35514017939567566","0.4791666567325592","0.36734694242477417","0.7464788556098938","0.19672131538391113","0.2068965584039688","0.8755760192871094","0.12994350492954254","0.6666666865348816"
"prime-sweep-110","","true","finished","-","","","2025-12-13T14:32:12.000Z","52","xhtpjq4s","64","64","mish","data","gelu","0","","","5","128","3","true","128","0.0001426056401477183","20","","","","6","256","5","4","same","","","","","","","","","","","","","","","","","","","","","","","","","2","","halving","1","true","8","0.619596540927887","0.7896103858947754","0.4901185631752014","0.5162200331687927","0.7488151788711548","0.6025104522705078","0.11034482717514038","1.0052273273468018","0.9887875318527222","0.7855297327041626","0.4679245352745056","0.5754716992378235","0.6839826703071594","0.5865580439567566","0.800000011920929","0.7937336564064026","0.5145228505134583","0.4680306911468506","0.8272251486778259","0.6193548440933228","0.05925925821065903","319","0.6427015066146851","0.8169013857841492","0.4970414340496063","0.5407165884971619","0.7599999904632568","0.6590909361839294","0.036363635212183","0.9426282644271852","0.8169013857841492","0.5419355034828186","0.5123456716537476","0.6713780760765076","0.6628571152687073","1","0.8169013857841492","0.4590163826942444","0.5724138021469116","0.8755760192871094","0.6553672552108765","0.018518518656492233"
"polished-sweep-109","","true","finished","-","","","2025-12-13T14:30:55.000Z","69","xhtpjq4s","16","32","relu","data","mish","0.4","","","5","128","3","false","128","0.0008934254999943289","20","","","","6","256","5","4","same","","","","","","","","","","","","","","","","","","","","","","","","","2","","doubling","1","true","13","0.6142445206642151","0.8026315569877625","0.53861004114151","0.48527348041534424","0.6948738694190979","0.5641618371009827","0.501960813999176","1.0293314456939695","0.7527240514755249","0.8090185523033142","0.5036101341247559","0.5372670888900757","0.6509146094322205","0.6100000143051147","0.5333333611488342","0.7963446378707886","0.5788381695747375","0.4424552321434021","0.7452006936073303","0.5247311592102051","0.4740740656852722","999","0.6492374539375305","0.7800830006599426","0.5367231369018555","0.60317462682724","0.7620967626571655","0.6081871390342712","0.4318181872367859","0.988695502281189","0.9494949579238892","0.5555555820465088","0.5588235259056091","0.6774193644523621","0.6303030252456665","0.5588235259056091","0.6619718074798584","0.5191256999969482","0.6551724076271057","0.8709677457809448","0.5875706076622009","0.35185185074806213"
"divine-sweep-108","","false","finished","-","","","2025-12-13T14:29:32.000Z","78","xhtpjq4s","32","64","gelu","data","mish","0.4","","","3","128","3","false","128","0.0010344031122227332","20","","","","6","64","5","4","same","","","","","","","","","","","","","","","","","","","","","","","","","2","","halving","1","false","19","0.4302181899547577","0.6415584683418274","0.08290155231952667","0.1949317753314972","0.5264341831207275","0.47026023268699646","0.0422535203397274","1.401309847831726","1.3544042110443115","0.6382429003715515","0.24742268025875092","0.4098360538482666","0.3883817493915558","0.4140752851963043","0.4285714328289032","0.644908607006073","0.04979253187775612","0.12787723541259766","0.8167539238929749","0.5440860390663147","0.02222222276031971","759","0.34967321157455444","0.6666666865348816","0.09401709586381912","0.10322580486536026","0.4442059993743897","0.032786883413791656","0.033898305147886276","1.4489918947219849","0.694656491279602","0.21568627655506137","0.800000011920929","0.28951048851013184","0.5","0.20000000298023224","0.6408450603485107","0.06010929122567177","0.05517241358757019","0.9539170265197754","0.016949152573943138","0.018518518656492233"
"glowing-sweep-107","","false","finished","-","","","2025-12-13T14:27:12.000Z","133","xhtpjq4s","64","32","silu","data","relu","0","","","3","128","3","false","128","0.0005502086020564484","20","","","","6","512","5","4","same","","","","","","","","","","","","","","","","","","","","","","","","","2","","same","1","false","19","0.9872375726699828","0.9986928105354308","0.9781477451324464","0.9821428656578064","0.9956408143043518","0.9838882684707642","0.9777777791023254","0.04598820209503174","0.021852856501936913","1","0.9812108278274536","0.9796437621116638","0.9947735071182252","0.9828326106071472","0.9777777791023254","0.997389018535614","0.9751037359237672","0.9846547245979308","0.996509611606598","0.9849462509155272","0.9777777791023254","1519","0.9618736505508424","0.9411764740943908","0.952646255493164","0.9686411023139954","0.9813084006309508","0.9558011293411256","0.9729729890823364","0.19888819754123688","0.9251700639724731","0.9715909361839294","0.9788732528686525","0.9952606558799744","0.9351351261138916","0.9473684430122375","0.9577465057373048","0.934426248073578","0.9586206674575806","0.9677419066429138","0.9774011373519896","1"
"rare-sweep-106","","true","crashed","-","","","2025-12-13T14:26:11.000Z","39","xhtpjq4s","32","16","mish","data","silu","0.2","","","3","128","3","false","128","0.0004528406576512475","20","","","","6","128","5","4","same","","","","","","","","","","","","","","","","","","","","","","","","","2","","halving","1","true","5","0.3425277769565582","0.6278538703918457","0.05514705926179886","0.10256410390138626","0.32990866899490356","0.42289936542510986","0","1.5117324590682983","1.582231521606445","0.5578093528747559","0.24193547666072843","0.31168830394744873","0.2451229840517044","0.3705501556396485","0","0.7180156707763672","0.031120331957936287","0.06138107553124428","0.5043630003929138","0.49247312545776367","0","819","0.376906305551529","0.6540880799293518","0.06422018259763718","0.14444445073604584","0.3403565585613251","0.5211581587791443","0","1.4673188924789429","0.5909090638160706","0.20000000298023224","0.37142857909202576","0.26249998807907104","0.43014705181121826","0","0.7323943376541138","0.0382513664662838","0.08965517580509186","0.4838709533214569","0.6610169410705566","0"
"vivid-sweep-105","","true","crashed","-","","","2025-12-13T14:25:11.000Z","55","xhtpjq4s","32","32","relu","data","silu","0.4","","","5","128","3","true","128","0.00034171648966234246","20","","","","6","64","5","4","same","","","","","","","","","","","","","","","","","","","","","","","","","2","","same","1","false","10","0.7377521395683289","0.8372703194618225","0.667976438999176","0.6971279382705688","0.8605241179466248","0.6666666865348816","0.5062240958213806","0.7189832329750061","0.935145139694214","0.8416886329650879","0.6343283653259277","0.7120000123977661","0.83442622423172","0.6997635960578918","0.5754716992378235","0.8328981995582581","0.7053942084312439","0.6828644275665283","0.8883071541786194","0.6365591287612915","0.45185184478759766","779","0.42592594027519226","0.726457417011261","0.49056604504585266","0.40360361337661743","0.03619909659028053","0.497560977935791","0.0357142873108387","2.0331315994262695","1","0.48404255509376526","0.27317073941230774","1","0.4377682507038117","0.5","0.5704225301742554","0.4972677528858185","0.7724137902259827","0.018433179706335068","0.5762711763381958","0.018518518656492233"
"polished-sweep-104","","true","finished","-","","","2025-12-13T14:23:49.000Z","78","xhtpjq4s","32","16","gelu","data","relu","0","","","5","128","3","true","128","0.001818376530830986","20","","","","6","512","5","4","same","","","","","","","","","","","","","","","","","","","","","","","","","2","","halving","1","false","12","0.7760395407676697","0.8443271517753601","0.7351460456848145","0.7402597665786743","0.8688945770263672","0.7060109376907349","0.6666666865348816","0.6225083470344543","0.47761809825897217","0.8533333539962769","0.7142857313156128","0.751978874206543","0.8535353541374207","0.7177777886390686","0.7083333134651184","0.8355091214179993","0.7572613954544067","0.7289002537727356","0.8848167657852173","0.6946236491203308","0.6296296119689941","1909","0.6492374539375305","0.7631579041481018","0.5714285969734192","0.5928853750228882","0.7046979665756226","0.5163636207580566","0.7017543911933899","1.006942629814148","0.7160493731498718","0.7567567825317383","0.6944444179534912","0.5540897250175476","0.7244898080825806","0.6666666865348816","0.8169013857841492","0.4590163826942444","0.517241358757019","0.9677419066429138","0.4011299312114715","0.7407407164573669"
"spring-sweep-103","","false","finished","-","","","2025-12-13T14:22:09.000Z","92","xhtpjq4s","16","32","mish","data","gelu","0","","","5","128","3","false","128","0.00015029243409611052","20","","","","6","512","5","4","same","","","","","","","","","","","","","","","","","","","","","","","","","2","","doubling","1","false","19","0.9510086178779602","0.9685039520263672","0.9296066164970398","0.9483203887939452","0.9826388955116272","0.9189765453338624","0.962406039237976","0.15983238816261292","0.18535374104976657","0.9736147522926332","0.9276859760284424","0.9582245349884032","0.9775474667549132","0.9112050533294678","0.9770992398262024","0.9634464979171752","0.9315352439880372","0.9386188983917236","0.9877836108207704","0.926881730556488","0.9481481313705444","1519","0.92592591047287","0.9510489702224731","0.8771929740905762","0.8913857936859131","0.9837586879730223","0.910662829875946","0.9433962106704712","0.2355119287967682","0.9444444179534912","0.8101851940155029","0.9754098653793336","0.990654230117798","0.929411768913269","0.9615384340286256","0.9577465057373048","0.9562841653823853","0.8206896781921387","0.9769585132598876","0.8926553726196289","0.92592591047287"
"ethereal-sweep-102","","true","finished","-","","","2025-12-13T14:20:12.000Z","114","xhtpjq4s","32","16","relu","data","gelu","0.4","","","3","128","3","true","128","0.0017781601184378266","20","","","","6","512","5","4","same","","","","","","","","","","","","","","","","","","","","","","","","","2","","same","1","true","17","0.7361053824424744","0.8117489814758301","0.699999988079071","0.6744186282157898","0.8281117677688599","0.6874328851699829","0.5931559205055237","0.7359189987182617","0.7601593732833862","0.8306010961532593","0.7029288411140442","0.6814621686935425","0.8042762875556946","0.6866952776908875","0.609375","0.7937336564064026","0.6970954537391663","0.6675191521644592","0.8534031510353088","0.6881720423698425","0.5777778029441833","2699","0.656862735748291","0.757446825504303","0.633431077003479","0.6058823466300964","0.650306761264801","0.6813187003135681","0.6043165326118469","0.8655386567115784","0.9569892287254332","0.6835442781448364","0.528205156326294","0.9724770784378052","0.5575539469718933","0.4941176474094391","0.6267605423927307","0.5901639461517334","0.7103448510169983","0.48847925662994385","0.8757061958312988","0.7777777910232544"
