"Name","Agent","Stopped","State","Notes","User","Tags","Created","Runtime","Sweep","backbone_lr_factor","base_features","batch_size","conv_activation","data_dir","dense_activation","dropout","early_terminate.min_iter","early_terminate.type","filter_size","freeze_strategy","img_size","in_channels","include_batchnorm","input_size","lr","max_epochs","method","metric.goal","metric.name","num_classes","num_dense","num_layers","num_workers","padding","parameters.backbone_lr_factors","parameters.base_featuress","parameters.batch_sizes","parameters.conv_activations","parameters.data_dir","parameters.dense_activations","parameters.dropouts","parameters.filter_sizes","parameters.freeze_strategys","parameters.img_size","parameters.in_channels","parameters.include_batchnorms","parameters.input_size","parameters.lr.distribution","parameters.lr.max","parameters.lr.min","parameters.max_epochs","parameters.max_epochss","parameters.num_classes","parameters.num_denses","parameters.num_layers","parameters.num_workers","parameters.padding","parameters.pooling_k","parameters.strategys","parameters.stride","parameters.use_augmentations","parameters.use_differential_lrs","pooling_k","program","run_cap","strategy","stride","use_augmentation","use_differential_lr","epoch","train_accuracy","train_f1_class_cardboard","train_f1_class_glass","train_f1_class_metal","train_f1_class_paper","train_f1_class_plastic","train_f1_class_trash","train_loss_epoch","train_loss_step","train_precision_class_cardboard","train_precision_class_glass","train_precision_class_metal","train_precision_class_paper","train_precision_class_plastic","train_precision_class_trash","train_recall_class_cardboard","train_recall_class_glass","train_recall_class_metal","train_recall_class_paper","train_recall_class_plastic","train_recall_class_trash","trainer/global_step","val_accuracy","val_f1_class_cardboard","val_f1_class_glass","val_f1_class_metal","val_f1_class_paper","val_f1_class_plastic","val_f1_class_trash","val_loss","val_precision_class_cardboard","val_precision_class_glass","val_precision_class_metal","val_precision_class_paper","val_precision_class_plastic","val_precision_class_trash","val_recall_class_cardboard","val_recall_class_glass","val_recall_class_metal","val_recall_class_paper","val_recall_class_plastic","val_recall_class_trash"
"quiet-sweep-20","","false","finished","-","","","2025-12-14T10:29:48.000Z","51","9vh2qqg0","0.1","","64","","data","","","","","","freeze_backbone_half","224","","","","0.00032117376898706213","10","","","","6","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","false","8","0.9824260473251344","0.989276111125946","0.977540135383606","0.979973316192627","0.9845594763755798","0.9854423403739928","0.9669421315193176","0.05226470157504082","0.08685395121574402","0.989276111125946","0.9806867241859436","0.9839141964912416","0.985454559326172","0.9777777791023254","0.9669421315193176","0.989276111125946","0.9744136333465576","0.9760638475418092","0.9836660623550416","0.993228018283844","0.9669421315193176","332","0.980487823486328","0.9886792302131652","0.9910447597503662","0.9812734127044678","0.9870800971984864","0.970099687576294","0.9176470637321472","0.07313895970582962","0.9776119589805604","0.988095223903656","0.963235318660736","0.9947916865348816","0.979865789413452","0.9512194991111756","1","0.9940119981765748","1","0.9794871807098388","0.9605262875556946","0.8863636255264282"
"glad-sweep-19","","false","finished","-","","","2025-12-14T10:29:09.000Z","32","9vh2qqg0","0.1","","64","","data","","","","","","freeze_all_except_last","224","","","","0.00016955411792584838","5","","","","6","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","4","0.7059580087661743","0.7973856329917908","0.7011144757270813","0.6818181872367859","0.757446825504303","0.65450119972229","0.3195266127586365","1.0426337718963623","1.013845443725586","0.7780612111091614","0.6679536700248718","0.6854838728904724","0.7131410241127014","0.7097625136375427","0.5625","0.817694365978241","0.7377398610115051","0.6781914830207825","0.807622492313385","0.6072234511375427","0.22314049303531647","184","0.754878044128418","0.8603773713111877","0.7574931979179382","0.7569721341133118","0.774193525314331","0.7114093899726868","0.3214285671710968","0.8873276114463806","0.8507462739944458","0.6949999928474426","0.7916666865348816","0.75","0.7260273694992065","0.75","0.8702290058135986","0.832335352897644","0.7251908183097839","0.800000011920929","0.6973684430122375","0.20454545319080353"
"dulcet-sweep-18","","true","finished","-","","","2025-12-14T10:28:21.000Z","45","9vh2qqg0","0.01","","64","","data","","","","","","freeze_backbone_half","224","","","","0.0003930420573327189","10","","","","6","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","7","0.862837553024292","0.9051490426063538","0.858350932598114","0.8695651888847351","0.8802816867828369","0.8427095413208008","0.7037037014961243","0.39461469650268555","0.3970284163951874","0.915068507194519","0.8511530160903931","0.8616188168525696","0.8547008633613586","0.8574766516685486","0.800000011920929","0.8954423666000366","0.8656716346740723","0.8776595592498779","0.907441020011902","0.8284424543380737","0.6280992031097412","289","0.9036585092544556","0.9498069286346436","0.925815999507904","0.8913857936859131","0.903743326663971","0.9044585824012756","0.7191011309623718","0.2906043529510498","0.9609375","0.9176470637321472","0.875","0.9441340565681458","0.8765432238578796","0.7111111283302307","0.9389312863349916","0.9341317415237428","0.9083969593048096","0.8666666746139526","0.9342105388641356","0.7272727489471436"
"scarlet-sweep-17","","false","finished","-","","","2025-12-14T10:27:15.000Z","60","9vh2qqg0","0.01","","64","","data","","","","","","freeze_backbone_half","224","","","","0.0007866788705126424","10","","","","6","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","false","9","0.9841405749320984","0.9973190426826476","0.9798086881637572","0.9867021441459656","0.9918107390403748","0.9728506803512572","0.9590163826942444","0.04429064318537712","0.04238450899720192","0.9973190426826476","0.9766949415206908","0.9867021441459656","0.9945255517959596","0.9750567078590392","0.9512194991111756","0.9973190426826476","0.9829424023628236","0.9867021441459656","0.9891107082366944","0.9706546068191528","0.9669421315193176","369","0.9719512462615968","0.992424249649048","0.9734513163566588","0.9849624037742616","0.9772151708602904","0.9411764740943908","0.9425287246704102","0.13546410202980042","0.9849624037742616","0.959302306175232","0.970370352268219","0.9649999737739564","0.9927007555961608","0.9534883499145508","1","0.9880239367485046","1","0.9897435903549194","0.8947368264198303","0.931818187236786"
"restful-sweep-16","","false","finished","-","","","2025-12-14T10:26:10.000Z","58","9vh2qqg0","0.1","","64","","data","","","","","","freeze_backbone_half","224","","","","0.0005438460501081981","10","","","","6","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","9","0.9515644907951356","0.986522912979126","0.94669508934021","0.9425901174545288","0.9691470265388488","0.9241071343421936","0.9121338725090028","0.1355915665626526","0.1818321794271469","0.9918699264526368","0.94669508934021","0.9463806748390198","0.9691470265388488","0.9139072895050048","0.9237288236618042","0.9812332391738892","0.94669508934021","0.938829779624939","0.9691470265388488","0.9345372319221495","0.9008264541625975","369","0.962195098400116","0.9776119589805604","0.9661538600921632","0.9594095945358276","0.9739583134651184","0.9514563083648682","0.891566276550293","0.12507404386997223","0.956204354763031","0.9936708807945251","0.9285714030265808","0.9894179701805116","0.9363057613372804","0.9487179517745972","1","0.940119743347168","0.9923664331436156","0.9589743614196776","0.967105269432068","0.8409090638160706"
"divine-sweep-15","","false","finished","-","","","2025-12-14T10:25:05.000Z","57","9vh2qqg0","0.1","","64","","data","","","","","","freeze_backbone_half","224","","","","0.0007941333499448033","10","","","","6","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","9","0.9708529710769652","0.982550323009491","0.9756097793579102","0.9826897382736206","0.9689781069755554","0.9695603251457214","0.8934426307678223","0.09860437363386154","0.145713672041893","0.9838709831237792","0.9704641103744508","0.984000027179718","0.9743119478225708","0.9684684872627258","0.8861788511276245","0.9812332391738892","0.9808102250099182","0.9813829660415648","0.963702380657196","0.9706546068191528","0.9008264541625975","369","0.9756097793579102","0.9806950092315674","0.9879518151283264","0.9812734127044678","0.9746192693710328","0.9771987199783324","0.8888888955116272","0.08487170934677124","0.9921875","0.9939393997192384","0.963235318660736","0.9648241400718688","0.9677419066429138","0.9729729890823364","0.969465672969818","0.9820359349250792","1","0.9846153855323792","0.9868420958518982","0.8181818127632141"
"twilight-sweep-14","","true","finished","-","","","2025-12-14T10:24:22.000Z","39","9vh2qqg0","0.01","","64","","data","","","","","","freeze_backbone_half","224","","","","0.001091832300806728","10","","","","6","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","false","5","0.9622803330421448","0.9811320900917052","0.9627262949943542","0.96679949760437","0.9684968590736388","0.9477272629737854","0.9128630757331848","0.11641769111156464","0.1878980398178101","0.9864498376846312","0.9617021083831788","0.9655172228813172","0.9607142806053162","0.9542334079742432","0.9166666865348816","0.9758713245391846","0.9637526869773864","0.9680851101875304","0.9764065146446228","0.9413092732429504","0.9090909361839294","221","0.9268292784690856","0.9923076629638672","0.950437307357788","0.9288389682769777","0.9050279259681702","0.91304349899292","0.7777777910232544","0.25998422503471375","1","0.9261363744735718","0.911764681339264","0.9938650131225586","0.8647058606147766","0.760869562625885","0.9847328066825868","0.976047933101654","0.9465649127960204","0.8307692408561707","0.967105269432068","0.7954545617103577"
"jolly-sweep-13","","false","finished","-","","","2025-12-14T10:23:39.000Z","40","9vh2qqg0","0.01","","32","","data","","","","","","finetune_all","224","","","","0.0020533013038909176","5","","","","6","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","4","0.910844385623932","0.9543010592460632","0.8782051205635071","0.903311252593994","0.938293993473053","0.900335967540741","0.8389830589294434","0.26193729043006897","0.2530328333377838","0.9568732976913452","0.8800856471061707","0.8997361660003662","0.938293993473053","0.8933333158493042","0.8608695864677429","0.9517426490783693","0.8763326406478882","0.9069148898124696","0.938293993473053","0.907449185848236","0.8181818127632141","364","0.9487804770469666","0.9848484992980956","0.9570552110671996","0.9477611780166626","0.9689119458198548","0.9274448156356812","0.7848101258277893","0.16295289993286133","0.9774436354637146","0.9811320900917052","0.9270073175430298","0.9790576100349426","0.8909090757369995","0.8857142925262451","0.9923664331436156","0.9341317415237428","0.969465672969818","0.9589743614196776","0.967105269432068","0.7045454382896423"
"royal-sweep-12","","false","finished","-","","","2025-12-14T10:22:39.000Z","56","9vh2qqg0","0.1","","32","","data","","","","","","freeze_all_except_last","224","","","","0.00546655345097354","10","","","","6","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","9","0.860694408416748","0.920592188835144","0.8436830639839172","0.8544973731040955","0.8798554539680481","0.8299319744110107","0.7868852615356445","0.3844444155693054","0.3829490542411804","0.9243243336677552","0.8473118543624878","0.8500000238418579","0.8758992552757263","0.8337129950523376","0.7804877758026123","0.9168900847434998","0.8400852680206299","0.8590425252914429","0.8838475346565247","0.8261851072311401","0.7933884263038635","729","0.9317073225975036","0.973180055618286","0.9439527988433838","0.9118773937225342","0.946835458278656","0.9013158082962036","0.8500000238418579","0.21526148915290833","0.9769230484962464","0.930232584476471","0.9153845906257628","0.9350000023841858","0.9013158082962036","0.9444444179534912","0.969465672969818","0.9580838084220886","0.9083969593048096","0.9589743614196776","0.9013158082962036","0.7727272510528564"
"fancy-sweep-11","","false","finished","-","","","2025-12-14T10:21:56.000Z","37","9vh2qqg0","0.01","","32","","data","","","","","","freeze_all_except_last","224","","","","0.00027916249651692134","5","","","","6","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","4","0.7659665942192078","0.8579017519950867","0.7618069648742676","0.7486631274223328","0.8064516186714172","0.7120668888092041","0.4545454680919647","0.7595984935760498","0.9617701172828674","0.8500000238418579","0.7346534729003906","0.7526881694793701","0.7575757503509521","0.7563451528549194","0.7272727489471436","0.8659517168998718","0.7910447716712952","0.7446808218955994","0.8620689511299133","0.6726862192153931","0.3305785059928894","364","0.8268292546272278","0.921875","0.8308605551719666","0.8294573426246643","0.8369829654693604","0.8038585186004639","0.4776119291782379","0.6090841889381409","0.944000005722046","0.8235294222831726","0.8425197005271912","0.7962962985038757","0.7861635088920593","0.695652186870575","0.9007633328437804","0.8383233547210693","0.8167939186096191","0.8820512890815735","0.8223684430122375","0.3636363744735718"
